building_id,site_id,primaryspaceusage,sqft,yearbuilt,eui,total_kwh_2yr,annual_kwh,calculated_eui
Panther_education_Rosalie,Panther,Education,7432.0,2008.0,276,919500.2993,459750.14965,61.8608920411733
Panther_education_Misty,Panther,Education,2720.0,2004.0,375,477666.4819,238833.24095,87.80633858455883
Panther_education_Mattie,Panther,Education,5376.0,1991.0,49,94679.0223,47339.51115,8.80571263950893
Panther_education_Diann,Panther,Education,23685.0,2002.0,145,1268351.5141,634175.75705,26.775417228203505
Panther_education_Gina,Panther,Education,116607.0,1975.0,546,5915433.2385,2957716.61925,25.36482903470632
Panther_education_Tina,Panther,Education,8000.0,2000.0,41,106685.2761,53342.63805,6.66782975625
Panther_lodging_Russell,Panther,Lodging/residential,27926.0,1981.0,58,513574.8238,256787.4119,9.195280809997852
Panther_education_Vincent,Panther,Education,121074.0,1989.0,128,2148414.3031,1074207.15155,8.872319007796886
Panther_education_Shelton,Panther,Education,60809.0,2003.0,133,1728052.3323,864026.16615,14.208853395878899
Panther_office_Karla,Panther,Office,27000.0,2010.0,120,500557.1085,250278.55425,9.269576083333332
Panther_assembly_Denice,Panther,Entertainment/public assembly,370773.0,1991.0,134,6698338.8404,3349169.4202,9.03293772793596
Panther_education_Sophia,Panther,Education,49073.0,1968.0,466,2004997.6164,1002498.8082,20.428724720314634
Panther_lodging_Willa,Panther,Lodging/residential,37100.0,1999.0,162,1003723.9106,501861.9553,13.527276423180592
Panther_education_Annetta,Panther,Education,99380.0,2000.0,95,1527556.9973,763778.49865,7.685434681525457
Panther_education_Aurora,Panther,Education,86250.0,2013.0,136,1761225.5771,880612.78855,10.210003345507246
Panther_office_Graham,Panther,Office,83957.0,1974.0,104,1049421.8359,524710.91795,6.24975782781662
Panther_education_Karri,Panther,Education,54644.0,1996.0,436,5361659.2937,2680829.64685,49.05990862400264
Panther_office_Valarie,Panther,Office,15250.0,1980.0,204,477813.1904,238906.5952,15.666006242622952
Panther_education_Hugh,Panther,Education,111891.0,1996.0,495,8526077.0886,4263038.5443,38.099923535405
Panther_office_Larry,Panther,Office,18717.0,2004.0,173,741876.3191,370938.15955,19.818248626916706
Panther_education_Mohammad,Panther,Education,110272.0,1977.0,199,2101879.7845,1050939.89225,9.5304328592027
Panther_office_Jeane,Panther,Office,7043.0,1990.0,86,292190.24,146095.12,20.743308249325572
Panther_education_Jonathan,Panther,Education,3569.0,1996.0,66,113448.4012,56724.2006,15.89358380498739
Panther_education_Genevieve,Panther,Education,130885.0,1985.0,151,3625280.2729,1812640.13645,13.849105217939414
Panther_education_Alecia,Panther,Education,105545.0,2001.0,186,3226352.6002,1613176.3001,15.284251268179451
Panther_office_Jesus,Panther,Office,103286.0,1969.0,28,1411409.8183,705704.90915,6.8325320871173245
Panther_office_Catherine,Panther,Office,26953.0,2005.0,162,626769.1322,313384.5661,11.627075505509591
Panther_lodging_Awilda,Panther,Lodging/residential,59200.0,1999.0,125,1269728.4447,634864.22235,10.724057809966217
Panther_office_Garth,Panther,Office,52957.0,2016.0,73,896716.0508,448358.0254,8.46645439507525
Panther_education_Teofila,Panther,Education,93897.0,1999.0,146,2214935.835,1107467.9175,11.794497348158087
Panther_education_Ivan,Panther,Education,61904.0,2001.0,202,1865183.7087,932591.85435,15.065130756493927
Panther_office_Shauna,Panther,Office,48392.0,2005.0,165,1361645.0411,680822.52055,14.068906442180525
Panther_lodging_Hattie,Panther,Lodging/residential,38686.0,2002.0,325,1990241.4206,995120.7103,25.72301892932844
Panther_lodging_Jana,Panther,Lodging/residential,42731.0,2002.0,70,1180066.5819,590033.29095,13.808085253094944
Panther_lodging_Teresita,Panther,Lodging/residential,41617.0,2002.0,61,940577.1961000001,470288.59805000003,11.300396425739482
Panther_lodging_Cornelia,Panther,Lodging/residential,53130.0,2002.0,35,604306.9676,302153.4838,5.687059736495389
Panther_lodging_Tracie,Panther,Lodging/residential,53130.0,2002.0,43,803861.8261,401930.91305,7.565046358930924
Panther_office_Lois,Panther,Office,12769.0,2013.0,368,2082698.8239,1041349.41195,81.55293382018952
Panther_office_Taryn,Panther,Office,64619.0,1969.0,118,1317841.3366,658920.6683,10.197011224252929
Panther_assembly_David,Panther,Entertainment/public assembly,26944.0,2001.0,113,997636.1273,498818.06365,18.513140723352137
Panther_office_Kristen,Panther,Office,93860.0,1968.0,562,734785.7728,367392.8864,3.914264717664607
Panther_other_Lucina,Panther,Other,226506.0,1968.0,176,5164543.9858,2582271.9929,11.400457351681633
Panther_retail_Kristina,Panther,Retail,59071.0,1980.0,125,454405.2181,227202.60905,3.8462631248836145
Panther_retail_Rachel,Panther,Retail,283.0,1985.0,352,49317.4423,24658.72115,87.13329028268552
Panther_retail_Lester,Panther,Retail,9045.0,2016.0,167,90682.6119,45341.30595,5.012858590381426
Panther_retail_Felix,Panther,Retail,31666.0,2008.0,160,1692163.9231,846081.96155,26.718940237162887
Panther_other_Tyrone,Panther,Other,9569.0,1989.0,85,375164.986,187582.493,19.603144842721285
Panther_lodging_Myrtle,Panther,Lodging/residential,24456.0,1968.0,204,748007.6975,374003.84875,15.292928064687603
Panther_other_Bettie,Panther,Other,4698.0,1981.0,"2,544",199627.4675,99813.73375,21.246005481055768
Panther_parking_Asia,Panther,Parking,387638.0,2014.0,3,380916.6937,190458.34685,0.4913304341937581
Panther_education_Edna,Panther,Education,106523.0,1970.0,168,1832170.419,916085.2095,8.599881804868431
Panther_office_Christian,Panther,Office,16726.0,2011.0,177,490008.829,245004.4145,14.648117571445654
Panther_lodging_Alita,Panther,Lodging/residential,60088.0,2013.0,63,1026649.1748,513324.5874,8.542880232325922
Panther_lodging_Edison,Panther,Lodging/residential,65359.0,2013.0,75,1469180.8403,734590.42015,11.23931547529797
Panther_lodging_Sonja,Panther,Lodging/residential,83379.0,2013.0,65,1604783.444,802391.722,9.623427025989757
Panther_assembly_Pamella,Panther,Entertainment/public assembly,81337.0,2005.0,18,1176969.9639,588484.98195,7.235144914983342
Panther_education_Neal,Panther,Education,81576.0,1997.0,181,3378833.835,1689416.9175,20.709729791850545
Panther_lodging_Blaine,Panther,Lodging/residential,38686.0,2001.0,299,1070689.9692,535344.9846,13.838209807165383
Panther_lodging_Floyd,Panther,Lodging/residential,42731.0,2001.0,116,2232532.703,1116266.3515,26.123103870726172
Panther_lodging_Jorge,Panther,Lodging/residential,41617.0,2001.0,61,946264.1484,473132.0742,11.368721296585528
Panther_lodging_Edmond,Panther,Lodging/residential,53130.0,2001.0,38,619059.098,309529.549,5.825890250329381
Panther_lodging_Kaitlin,Panther,Lodging/residential,53130.0,2001.0,39,691270.0068,345635.0034,6.505458373800113
Panther_lodging_Fausto,Panther,Lodging/residential,37241.0,1981.0,76,709852.8989,354926.44945,9.530529509143149
Panther_lodging_Janice,Panther,Lodging/residential,24456.0,1968.0,293,782086.3783,391043.18915,15.989662624713771
Panther_parking_Charlene,Panther,Parking,487433.0,2007.0,3,601551.4083,300775.70415,0.6170606096632768
Panther_parking_Jody,Panther,Parking,387638.0,2000.0,9,417327.737,208663.8685,0.5382956998539875
Panther_parking_Stanley,Panther,Parking,387638.0,1998.0,5,611380.9121,305690.45605,0.7885977537031973
Panther_parking_Adela,Panther,Parking,387638.0,2002.0,11,650135.6389,325067.81945,0.8385860505162033
Panther_parking_Alaina,Panther,Parking,387638.0,1997.0,3,528264.6107,264132.30535,0.681389093303546
Panther_education_Zelda,Panther,Education,80942.0,2010.0,92,1169945.0074,584972.5037,7.227057691927553
Panther_education_Jerome,Panther,Education,128887.0,2009.0,515,6875540.5191,3437770.25955,26.672746355722456
