building_id,climate_zone,hdd,building_typology,n_floors,area_tot_m2,u_value_wall_pre,u_value_wall_post,pre_hvac_type,pre_dhw_type,post_hvac_type,post_dhw_type,post_hp_capacity_kW,pre_sh_final_energy_gas,pre_sh_final_energy_elec,pre_sh_primary_energy,pre_sh_co2,pre_sc_final_energy_elec,pre_sc_primary_energy,pre_sc_co2,pre_dhw_final_energy_gas,pre_dhw_final_energy_elec,pre_dhw_primary_energy,pre_dhw_co2,pre_vent_final_energy_elec,pre_vent_primary_energy,pre_vent_co2,pre_total_final_energy_gas,pre_total_final_energy_elec,pre_total_primary_energy,pre_total_co2,post_sh_final_energy_gas,post_sh_final_energy_elec,post_sh_primary_energy,post_sh_co2,post_sc_final_energy_elec,post_sc_primary_energy,post_sc_co2,post_dhw_final_energy_gas,post_dhw_final_energy_elec,post_dhw_primary_energy,post_dhw_co2,post_vent_final_energy_elec,post_vent_primary_energy,post_vent_co2,post_total_final_energy_gas,post_total_final_energy_elec,post_total_primary_energy,post_total_co2,pre_opcost_sh,pre_opcost_sc,pre_opcost_dhw,pre_opcost_vent,pre_opcost_per_m2,pre_opcost_total_eur_y,post_opcost_sh,post_opcost_sc,post_opcost_dhw,post_opcost_vent,post_opcost_per_m2,post_opcost_total_eur_y
CON-LRMF,Continental,2901.83,Low rise,4,4055,0.6458764704451793,0.25,Decentralized - Gas boiler,Decentralized - Gas boiler,Decentralized - Heat pump,Decentralized - Heat pump,3.18,90.94566880631997,0,95.49295224663598,18.371025098876636,0.5210500108188818,1.198415024883428,0.23968300497668563,23.529411764705884,0,24.705882352941178,4.752941176470589,0,0,0,114.47508057102586,0.5210500108188818,121.39724962446058,23.363649280323912,0,8.62992585895565,19.84882947559799,3.969765895119599,0.16730162648461896,0.3847937409146236,0.07695874818292472,0,4.17359942638554,9.59927868068674,1.9198557361373483,0.028414510340138827,0.0653533737823193,0.013070674756463861,0,12.999241422165948,29.898255270981675,5.979651054196336,5.747766268559423,0.16090024334087072,1.487058823529412,0,7.395725335429706,29989.666235167457,2.664921105245505,0.05166274225845034,1.2888075028678547,0.015453632900535001,4.020844983272344,16304.526407169355
OCE-LRMF,Oceanic,2451.700000000002,Low rise,4,4055,0.7552011573959672,0.18,Decentralized - Gas boiler,Decentralized - Gas boiler,Decentralized - Heat pump,Decentralized - Heat pump,3.18,77.22460231349606,0,81.08583242917086,15.599369667326206,0.16983037186385788,0.3906098552868731,0.07812197105737463,23.529411764705884,0,24.705882352941178,4.752941176470589,0,0,0,100.75401407820195,0.16983037186385788,106.1823246373989,20.43043281485417,0,5.149430693387928,11.843690594792234,2.368738118958447,0.0373137089673982,0.08582153062501585,0.01716430612500317,0,4.303085215598387,9.89709599587629,1.9794191991752583,0.03276160367346438,0.07535168844896807,0.015070337689793616,0,9.522591221627177,21.901959809742507,4.3803919619485026,3.8071728940553555,0.036038004909510646,1.16,0,5.003210898964866,20288.02019530253,1.0927091931369184,0.007917969042881898,0.9131146827499778,0.012329173009778196,2.0260710179395565,8215.717977744902
MED-LRMF,Mediterranean,1400.166666666666,Low rise,4,4055,0.9960623745546221,0.29,Decentralized - Gas boiler,Decentralized - Gas boiler,Decentralized - Heat pump,Decentralized - Heat pump,3.18,49.881601337161925,0,52.37568140402002,10.07608347010671,4.6440030364083,10.68120698373909,2.136241396747818,23.529411764705884,0,24.705882352941178,4.752941176470589,0,0,0,73.41101310186781,4.6440030364083,87.76277074070029,16.965266043325116,0,2.0184461427209195,4.642426128258115,0.9284852256516231,1.2004427407978577,2.7610183038350726,0.5522036607670145,0,3.0933516604378206,7.114708819006987,1.4229417638013975,0.036626298600227425,0.08424048678052307,0.016848097356104617,0,6.348866842556825,14.602393737880696,2.9204787475761393,3.8358951428277517,1.0685850986775498,1.8094117647058825,0,6.713892006211184,27224.83208518635,0.46444445744008356,0.2762218746575871,0.7117802170667425,0.012398506305925629,1.4648450554703387,5939.946699932223
SDR-LRMF,Southern Dry,1993.233333333332,Low rise,4,4055,1.5585345707141798,0.41,Decentralized - Gas boiler,Decentralized - Gas boiler,Decentralized - Heat pump,Decentralized - Heat pump,3.18,77.1249096492028,0,80.98115513166294,15.579231749138968,5.2648561821227,12.10916921888221,2.421833843776442,23.529411764705884,0,24.705882352941178,4.752941176470589,0,0,0,100.65432141390869,5.2648561821227,117.79620670348633,22.754006769386,0,6.01185198754644,13.827259571356812,2.7654519142713627,1.306389487187322,3.0046958205308405,0.6009391641061682,0,3.1711230072995233,7.293582916788903,1.4587165833577809,0.03069706722458198,0.07060325461653855,0.014120650923307712,0,10.520061549257866,24.196141563293097,4.839228312658619,5.676393350181327,1.2651449405640849,1.731764705882353,0,8.673302996627765,35170.24365132559,1.4446480326074096,0.3139253937711135,0.7620208586540755,0.011247293368786087,2.5318415784013846,10266.617600417614
CON-LMFH,Continental,2901.83,lMFH,8,7120,0.6458764704451793,0.25,Centralized - Gas boiler,Decentralized - Electric resistance,Centralized - Heat pump,Centralized - Heat pump,100.0,95.47879603620476,0,100.252735838015,19.28671679931336,1.1247340823970027,2.586888389513106,0.5173776779026212,0.0,20,46.0,9.200000000000001,0,0,0,95.47879603620476,21.124734082397,148.8396242275281,29.004094477215986,0,12.853853698333522,29.5638635061671,5.91277270123342,0.7277275811261401,1.6737734365901222,0.3347546873180245,0,6.989210153288538,16.075183352563638,3.2150366705127276,3.784320000000021,8.703936000000047,1.7407872000000097,0,24.355111432748224,56.01675629532091,11.203351259064183,6.034259909488141,0.34731788464419444,6.176,0,12.557577794132335,89409.95389422223,3.9692700220453916,0.22472227705175207,2.158268095335501,1.1685980160000065,7.52085841043265,53548.51188228047
OCE-LMFH,Oceanic,2451.700000000002,lMFH,8,7120,0.7552011573959672,0.18,Centralized - Gas boiler,Decentralized - Electric resistance,Centralized - Heat pump,Centralized - Heat pump,100.0,104.2573735955056,0,109.47024227528088,21.059989466292134,0.0027537453183520597,0.006333614232209737,0.0012667228464419474,0.0,20,46.0,9.200000000000001,0,0,0,104.2573735955056,20.00275374531835,155.47657588951307,30.261256189138578,0,8.734059120806526,20.088335977855007,4.017667195571002,0.2350191032742611,0.5405439375308004,0.10810878750616011,0,6.78663152609187,15.6092525100113,3.1218505020022604,3.784320000000021,8.703936000000047,1.7407872000000097,0,19.54002975017268,44.94206842539715,8.988413685079433,5.1398885182584255,0.000584344756554307,4.244,0,9.38447286301498,66817.44678466665,1.8533673454351447,0.049871053714798205,1.440123209836695,0.8030327040000045,4.146394312986642,29522.32750846489
MED-LMFH,Mediterranean,1400.166666666666,lMFH,8,7120,0.9960623745546221,0.29,Centralized - Gas boiler,Decentralized - Electric resistance,Centralized - Heat pump,Centralized - Heat pump,67.0,50.6044202559301,0,53.13464126872661,10.222092891697882,8.53821785268415,19.637901061173544,3.927580212234709,0.0,20,46.0,9.200000000000001,0,0,0,50.6044202559301,28.53821785268415,118.77254232990015,23.34967310393259,0,5.638177558145437,12.967808383734505,2.5935616767469014,3.8240387972061556,8.795289233574158,1.7590578467148317,0,4.981248625534542,11.456871838729446,2.2913743677458895,3.784320000000021,8.703936000000047,1.7407872000000097,0,18.227784980886156,41.923905456038156,8.384781091207634,3.8914799176810244,1.9646439279026229,4.602,0,10.458123845583648,74461.84178055558,1.2973446561292652,0.8799113272371364,1.146185308735498,0.8707720320000049,4.194213324101904,29862.798867605557
SDR-LMFH,Southern Dry,1993.233333333332,lMFH,8,7120,1.5585345707141798,0.41,Centralized - Gas boiler,Decentralized - Electric resistance,Centralized - Heat pump,Centralized - Heat pump,84.0,117.65664013732827,0,123.53947214419469,23.76664130774031,10.731445068664161,24.68232365792757,4.936464731585515,0.0,20,46.0,9.200000000000001,0,0,0,117.65664013732827,30.73144506866416,194.22179580212224,37.90310603932583,0,9.966899591811789,22.923869061167114,4.584773812233423,4.515270498435169,10.385122146400887,2.077024429280178,0,5.383316897619414,12.381628864524652,2.4763257729049304,3.784320000000021,8.703936000000047,1.7407872000000097,0,23.64980698786639,54.3945560720927,10.878911214418542,8.65952871410736,2.578766249999998,4.806,0,16.04429496410736,114235.3801444444,2.395045971912373,1.0850195007739711,1.2936110504979452,0.9093720960000051,5.683048619184294,40463.30616859218
CON-HRMF,Continental,2901.83,High rise,17,7310,0.6458764704451793,0.25,Centralized - Gas boiler,Centralized - Gas boiler,Decentralized - Water loop,Decentralized - Water loop,6.0,60.81215020197562,0,63.8527577120744,12.284054340799075,7.226647497385241,16.621289243986055,3.324257848797211,25.0,0,26.25,5.050000000000001,0,0,0,85.81215020197561,7.226647497385241,106.72404695606045,20.658312189596288,0,5.7018161293584635,13.114177097524465,2.6228354195048933,4.022165188440687,9.25097993341358,1.8501959866827162,0,9.488416163394099,21.823357175806425,4.364671435161286,0.0,0.0,0.0,0,19.21239748119325,44.18851420674447,8.837702841348896,3.8433278927648593,2.231588747192563,1.58,0,7.654916639957422,55957.44063808876,1.7607208207458935,1.2420446101904843,2.930022911256098,0.0,5.932788342192476,43368.682781427
OCE-HRMF,Oceanic,2451.700000000002,High rise,17,7310,0.7552011573959672,0.18,Centralized - Gas boiler,Centralized - Gas boiler,Decentralized - Water loop,Decentralized - Water loop,6.0,64.48159575644644,0,67.70567554426876,13.025282342802182,0.7861942041227161,1.808246669482247,0.36164933389644943,25.0,0,26.25,5.050000000000001,0,0,0,89.48159575644644,0.7861942041227161,95.763922213751,18.436931676698634,0,3.4719383639380834,7.985458237057591,1.5970916474115184,2.4435487819787003,5.62016219855101,1.1240324397102022,0,9.414836974323766,21.65412504094466,4.330825008188932,0.0,0.0,0.0,0,15.33032412024055,35.25974547655326,7.051949095310652,3.178942670792809,0.16683041011484037,1.2325,0,4.57827308090765,33467.17622143492,0.7367453208276613,0.5185210515358802,1.997828405951503,0.0,3.2530947783150443,23780.122829482974
